dataset,n_samples,max_distance,delta,super_outliers,mean_neighbors
../datasets/pima.csv,614,12.13,0.001,614,0.0
../datasets/pima.csv,614,12.13,0.005,614,0.0
../datasets/pima.csv,614,12.13,0.01,614,0.0
../datasets/pima.csv,614,12.13,0.02,614,0.0
../datasets/pima.csv,614,12.13,0.03,614,0.0
../datasets/pima.csv,614,12.13,0.04,612,0.029315960912052116
../datasets/pima.csv,614,12.13,0.05,609,0.09120521172638436
../datasets/pima.csv,614,12.13,0.075,499,0.8566775244299675
../datasets/pima.csv,614,12.13,0.1,344,4.234527687296417
../datasets/dry+bean+dataset/DryBeanDataset/Dry_Bean_Dataset.xlsx,10888,21.44,0.001,10888,0.008082292432035268
../datasets/dry+bean+dataset/DryBeanDataset/Dry_Bean_Dataset.xlsx,10888,21.44,0.005,10887,0.010102865540044085
../datasets/dry+bean+dataset/DryBeanDataset/Dry_Bean_Dataset.xlsx,10888,21.44,0.01,10708,0.11021307861866275
../datasets/dry+bean+dataset/DryBeanDataset/Dry_Bean_Dataset.xlsx,10888,21.44,0.02,6412,3.585966201322557
../datasets/dry+bean+dataset/DryBeanDataset/Dry_Bean_Dataset.xlsx,10888,21.44,0.03,3014,21.8104335047759
../datasets/dry+bean+dataset/DryBeanDataset/Dry_Bean_Dataset.xlsx,10888,21.44,0.04,1328,68.02975753122703
../datasets/dry+bean+dataset/DryBeanDataset/Dry_Bean_Dataset.xlsx,10888,21.44,0.05,645,148.9638133725202
../datasets/dry+bean+dataset/DryBeanDataset/Dry_Bean_Dataset.xlsx,10888,21.44,0.075,147,483.1370315944159
../datasets/dry+bean+dataset/DryBeanDataset/Dry_Bean_Dataset.xlsx,10888,21.44,0.1,52,903.7218956649523
