model,percentage,reduction_ratio,representativeness,accuracy,f1,training_time,reduction_time
KNN,0.05,0.04959816303099885,12.326924614910146,0.897245179063361,0.8973851171056715,0.00037784576416015624,0.002993869781494141
KNN,0.1,0.09965556831228473,12.773578474182607,0.9079889807162533,0.9080119247833677,0.00039019584655761717,0.0029445171356201174
KNN,0.2,0.19965556831228473,11.985204405627178,0.9098255280073463,0.909844983322181,0.0004328250885009766,0.003025674819946289
KNN,0.3,0.29977037887485647,9.781287561513404,0.9134986225895316,0.9135111525527817,0.0004658222198486328,0.0030771732330322266
KNN,0.5,0.4998851894374282,9.598834242572632,0.9147842056932965,0.9147639194677435,0.0005323886871337891,0.0031322479248046876
KNN,0.75,0.7497129735935706,5.3942633268839035,0.917447199265381,0.9174820003353584,0.0006134033203125,0.003197908401489258
KNN,0.9,0.8997703788748564,3.571090483931593,0.9179063360881543,0.9179461524743397,0.0006615161895751953,0.00324397087097168
RF,0.05,0.04959816303099885,12.326924614910146,0.902020202020202,0.9017421589124497,0.12546172142028808,0.002993869781494141
RF,0.1,0.09965556831228473,12.773578474182607,0.9128558310376492,0.9127473848270735,0.20582332611083984,0.0029445171356201174
RF,0.2,0.19965556831228473,11.985204405627178,0.9115702479338843,0.9114473286870439,0.3968168258666992,0.003025674819946289
RF,0.3,0.29977037887485647,9.781287561513404,0.914416896235078,0.9141956188354708,0.6075517654418945,0.0030771732330322266
RF,0.5,0.4998851894374282,9.598834242572632,0.916988062442608,0.9167870378114875,1.1087494850158692,0.0031322479248046876
RF,0.75,0.7497129735935706,5.3942633268839035,0.9199265381083563,0.919712030144457,1.7917841911315917,0.003197908401489258
RF,0.9,0.8997703788748564,3.571090483931593,0.919742883379247,0.9195260828168841,2.2294930934906008,0.00324397087097168
XGB,0.05,0.04959816303099885,12.326924614910146,0.906060606060606,0.9058097009581628,0.1301863670349121,0.002993869781494141
XGB,0.1,0.09965556831228473,12.773578474182607,0.9182736455463729,0.9183521307283249,0.17733850479125976,0.0029445171356201174
XGB,0.2,0.19965556831228473,11.985204405627178,0.9205693296602387,0.9204942239319631,0.25069308280944824,0.003025674819946289
XGB,0.3,0.29977037887485647,9.781287561513404,0.9183654729109275,0.9182949292429669,0.2954145908355713,0.0030771732330322266
XGB,0.5,0.4998851894374282,9.598834242572632,0.9214876033057852,0.9213652750668173,0.36359591484069825,0.0031322479248046876
XGB,0.75,0.7497129735935706,5.3942633268839035,0.9247015610651974,0.9246490765195567,0.4266688823699951,0.003197908401489258
XGB,0.9,0.8997703788748564,3.571090483931593,0.9241505968778696,0.924178169674124,0.455019474029541,0.00324397087097168
